pid,id,other_key,block_order,reversal_timings,base_craving,base_mood,timestamp
61281debe85082cc937dd9ae,1,donuts,"['other', 'money', 'end']",D,25.0,9.0,1647962943.654094
58595b56a3149800011e156e,2,chips,"['money', 'other', 'end']",A,32.0,39.0,1647964954.9171734
5ca9e89dcb4af3001440da22,3,chips,"['other', 'money', 'end']",A,31.0,27.0,1647965324.0491085
5c284ae48e845b0001fc40aa,4,chips,"['other', 'money', 'end']",A,21.0,19.0,1647965952.9298236
5bfadc1846911f0001d7d1eb,5,chocolate,"['money', 'other', 'end']",B,38.0,18.0,1647966036.8126392
610008383c0a128712403745,6,chocolate,"['other', 'money', 'end']",D,32.0,42.0,1647966339.2030203
5c3848fc19ceb400010c24a0,7,chips,"['other', 'money', 'end']",C,12.0,29.0,1647966897.9455266
558955ebfdf99b6bd06016c9,8,donuts,"['other', 'money', 'end']",D,18.0,28.0,1647967547.9026718
57c9c13079ad9b0001e416be,9,donuts,"['other', 'money', 'end']",D,33.0,18.0,1647968084.2907689
60b78db6151a3abb7f832c22,10,chocolate,"['money', 'other', 'end']",C,15.0,29.0,1647968472.0170372
